siteengname	SO2 Average 	Maximum	X	Y	Months 	  Month/Year
Fengyuan	2.09	9.4	120.7425241	24.25699731	4	
Shalu	1.64	5.9	120.568794	24.225628	4	
Dali	1.53	5.1	120.6784444	24.09961111	4	
Zhongming	2.08	6.8	120.641092	24.151958	4	
Xitun	2.02	7.6	120.616917	24.162197	4	
Changhua	1.81	10.3	120.541519	24.066	4	
Xianxi	1.96	6.9	120.469061	24.131672	4	
Erlin	2.75	6.3	120.409653	23.925175	4	
Nantou	2.11	10.7	120.685306	23.913	4	
Douliu	2.37	11.2	120.544994	23.711853	4	
Lunbei	1.96	9	120.348742	23.757547	4	
Xingang	2.03	8.1	120.345531	23.554839	4	
Puzi	1.97	4.4	120.2478	23.46538	4	
Taixi	2.4	14.8	120.1993333	23.702175	4	
Chiayi	2.76	13.8	120.4412515	23.46477865	4	
Xinying	3.17	8	120.31725	23.305633	4	
Shanhua			120.2974053	23.11337642	4	
Annan	2.18	7.8	120.2175	23.048197	4	
Tainan	2.08	13.8	120.22085	22.99123	4	
Meinong	1.8	7.1	120.530542	22.883583	4	
Qiaotou	1.84	7.5	120.305689	22.757506	4	
Renwu	1.51	9.2	120.332631	22.689056	4	
Fengshan	1.72	11.2	120.357422	22.628126	4	
Daliao	1.94	5.8	120.425311	22.56413611	4	
Linyuan	1.9	7.2	120.41175	22.4795	4	
Nanzi	1.61	5.6	120.328289	22.733667	4	
Zuoying	2.02	10.3	120.292917	22.674861	4	
Qianjin	1.82	11.3	120.2867611	22.63390278	4	
Qianzhen	2.66	10.3	120.3083336	22.6044507	4	
Xiaogang	1.31	7.2	120.337736	22.565833	4	
Pingtung	2.31	12.5	120.488033	22.673081	4	
Chaozhou	1.89	6.8	120.561175	22.523108	4	
Hengchun	2.1	8.8	120.788928	21.958069	4	
Taitung	2.16	8.1	121.15045	22.755358	4	
Hualien	2.39	14.1	121.599769	23.971306	4	
Yangming	3.01	37.3	121.529583	25.182722	4	
Yilan	2.79	30.7	121.746394	24.747917	4	
Dongshan	2.08	10.2	121.792928	24.632203	4	
Sanchong	2.21	11.7	121.493806	25.072611	4	
Zhongli	1.99	9.3	121.221667	24.953278	4	
Zhushan	1.74	6.6	120.677306	23.756389	4	
Yonghe	0.64	3.3	121.516306	25.017	4	
Fuxing	1.68	6.3	120.312017	22.608711	4	
Puli	1.9	5.3	120.967903	23.968842	4	
Matsu	1.57	5.8	119.9314938	26.15188416	4	
Kinmen	1.31	4.9	118.312256	24.432133	4	
Magong	1	2.1	119.566158	23.569031	4	
Guanshan	1.14	2.5	121.161933	23.045083	4	
Mailiao	1.59	5.6	120.251825	23.753506	4	
FugueiCape	2.39	20.4	121.5365689	25.29681695	4	
Dacheng	2.01	5.5	120.2696417	23.85493056	4	
Keelung	1.91	7	121.760056	25.129167	5	june
Xizhi	1.57	5.1	121.64081	25.06624	5	
Wanli	1.9	5.8	121.689881	25.179667	5	
Xindian	2.47	4.9	121.537778	24.977222	5	
Tucheng	2.85	5.9	121.451861	24.982528	5	
Banqiao	1.97	6.3	121.458667	25.012972	5	
Xinzhuang	1.61	5	121.4325	25.037972	5	
Cailiao	2.09	5.2	121.481028	25.06895	5	
Linkou	2.75	7.9	121.3654898	25.07798949	5	
Tamsui	2.42	7.8	121.449239	25.1645	5	
Shilin	2.3	8.6	121.5166636	25.10334003	5	
Zhongshan	1.78	3.8	121.526528	25.062361	5	
Wanhua	3.01	6.04	121.507972	25.046503	5	
Guting	2.14	4.7	121.529556	25.020608	5	
Songshan	1.78	5.8	121.578611	25.05	5	
Datong	3.58	18.1	121.5134207	25.06331455	5	
Taoyuan	2.37	6.6	121.3050053	24.9947107	5	
Dayuan	2.39	6.7	121.2025147	25.06100357	5	
Guanyin	2.05	4.7	121.0828309	25.03556747	5	
Pingzhen	0.68	3.8	121.203986	24.952786	5	
Longtan	2.16	7.4	121.2164577	24.86400048	5	
Hukou	3.14	14.2	121.0388689	24.90009696	5	
Zhudong	2.4	5.3	121.0889549	24.74091408	5	
Hsinchu	2.47	6.4	120.9723675	24.8056356	5	
Toufen	1.91	4.6	120.8986929	24.69690679	5	
Miaoli	2.06	5.5	120.8201147	24.56499183	5	
Sanyi	1.96	5.3	120.7595675	24.38248443	5	
Fengyuan	2.39	5.7	120.7425241	24.25699731	5	
Shalu	1.54	3.8	120.568794	24.225628	5	
Dali	1.93	5.1	120.6784444	24.09961111	5	
Zhongming	1.88	5	120.641092	24.151958	5	
Xitun	2.56	9.7	120.616917	24.162197	5	
Changhua	1.96	11.9	120.541519	24.066	5	
Xianxi	1.8	3.9	120.469061	24.131672	5	
Erlin	2.75	6	120.409653	23.925175	5	
Nantou	1.89	4.9	120.685306	23.913	5	
Douliu	2.01	6.7	120.544994	23.711853	5	
Lunbei	1.71	12.8	120.348742	23.757547	5	
Xingang	1.87	5.3	120.345531	23.554839	5	
Puzi	1.86	3.9	120.2478	23.46538	5	
Taixi	1.92	6	120.1993333	23.702175	5	
Chiayi	3.01	11.8	120.4412515	23.46477865	5	
Xinying	3.02	7.5	120.31725	23.305633	5	
Shanhua			120.2974053	23.11337642	5	
Annan	1.63	10.1	120.2175	23.048197	5	
Tainan	1.79	10.2	120.22085	22.99123	5	
Meinong	1.78	5.2	120.530542	22.883583	5	
Qiaotou	1.72	7.3	120.305689	22.757506	5	
Renwu	1.27	3.3	120.332631	22.689056	5	
Fengshan	1.43	12.6	120.357422	22.628126	5	
Daliao	2.12	5.3	120.425311	22.56413611	5	
Linyuan	1.62	9.3	120.41175	22.4795	5	
Nanzi	1.74	4.5	120.328289	22.733667	5	
Zuoying	2.04	6.6	120.292917	22.674861	5	
Qianjin	2.1	23.8	120.2867611	22.63390278	5	
Qianzhen	2.22	8.7	120.3083336	22.6044507	5	
Xiaogang	1.46	4.7	120.337736	22.565833	5	
Pingtung	2	14.2	120.488033	22.673081	5	
Chaozhou	1.88	6.78	120.561175	22.523108	5	
Hengchun	2.07	8.6	120.788928	21.958069	5	
Taitung	2.11	6.2	121.15045	22.755358	5	
Hualien	2.64	21	121.599769	23.971306	5	
Yangming	2.73	19.3	121.529583	25.182722	5	
Yilan	2.91	27.6	121.746394	24.747917	5	
Dongshan	2.79	8.2	121.792928	24.632203	5	
Sanchong	1.85	6.6	121.493806	25.072611	5	
Zhongli	1.89	5.1	121.221667	24.953278	5	
Zhushan	1.69	6.5	120.677306	23.756389	5	
Yonghe	0.67	2.1	121.516306	25.017	5	
Fuxing	1.68	6.7	120.312017	22.608711	5	
Puli	1.98	5.6	120.967903	23.968842	5	
Matsu	1.71	6.2	119.9314938	26.15188416	5	
Kinmen	1.14	7.5	118.312256	24.432133	5	
Magong	1.24	2.4	119.566158	23.569031	5	
Guanshan	1.24	3.2	121.161933	23.045083	5	
Mailiao	2.08	7.4	120.251825	23.753506	5	
FugueiCape	2.17	6.2	121.5365689	25.29681695	5	
Dacheng	2.13	6.5	120.2696417	23.85493056	5	
Keelung	2.05	6.7	121.760056	25.129167	6	July
Xizhi	1.68	5.6	121.64081	25.06624	6	
Wanli	1.8	8	121.689881	25.179667	6	
Xindian	2.19	5.4	121.537778	24.977222	6	
Tucheng	2.77	7.1	121.451861	24.982528	6	
Banqiao	1.83	7.4	121.458667	25.012972	6	
Xinzhuang	1.48	5.8	121.4325	25.037972	6	
